"cod";"lat";"lon";"name"
"398";"A810";"-27.890463";" -54.480014";"RS-SantaRosa"
"399";"A833";"-29.191599";" -54.885653";"RS-Santiago"
"400";"A805";"-27.854345";" -53.791179";"RS-SantoAugusto"
"401";"A830";"-28.650092";" -56.016291";"RS-SãoBorja"
"402";"A832";"-30.341450";" -54.310917";"RS-SãoGabriel"
"403";"A829";"-28.748634";" -50.057880";"RS-SãoJosédosAusentes"
"404";"A852";"-28.417113";" -54.962403";"RS-SãoLuizGonzaga"
"405";"A837";"-28.859211";" -52.542387";"RS-Soledade"
"406";"A882";"-29.450334";" -51.824283";"RS-Teutonia"
"407";"A808";"-29.350359";" -49.733263";"RS-Torres"
"408";"A834";"-30.010268";" -50.135887";"RS-Tramandai"
"409";"A809";"-29.839870";" -57.081899";"RS-Uruguaiana"
"410";"A880";"-28.513602";" -50.882738";"RS-Vacaria"
"411";"A867";"-28.931353";" -49.497920";"SC-Ararangua"
"412";"A859";"-26.819156";" -50.985520";"SC-Caçador"
"413";"A860";"-27.288624";" -50.604283";"SC-Curitibanos"
"414";"A848";"-26.286562";" -53.633114";"SC-DionisioCerqueira"
"415";"A806";"-27.602530";" -48.620096";"SC-Florianopolis-SãoJosé"
"416";"A817";"-26.913704";" -49.267978";"SC-Indaial"
"417";"A868";"-26.950924";" -48.762031";"SC-Itajai"
"418";"A851";"-26.081303";" -48.641774";"SC-Itapoá"
"419";"A863";"-27.418410";" -49.646874";"SC-Ituporanga"
